id,title,director,release_date,runtime,rating,category
80991316,Avengement,Jesse V. Johnson,2019,88,TV-MA,Action & Adventure
80190588,Clive Davis: The Soundtrack of Our Lives,Chris Perkel,2017,124,TV-14,Documentaries
70124316,Five Elements Ninjas,Cheh Chang,1982,104,R,Action & Adventure
70229037,Sebastian Maniscalco: What's Wrong with People?,Manny Rodriguez,2012,76,TV-14,Stand-Up Comedy
80037280,The Witch,Robert Eggers,2015,92,R,Horror Movies
80058248,I Am Wrath,Chuck Russell,2016,91,R,Action & Adventure
70307661,"As Above, So Below",John Erick Dowdle,2014,93,R,Horror Movies
70117312,Scott Pilgrim vs. the World,Edgar Wright,2010,112,PG-13,Action & Adventure
80092885,ARQ,Tony Elliott,2016,89,TV-MA,International Movies
80108371,Cedric the Entertainer: Live from the Ville,Troy Miller,2016,60,TV-MA,Stand-Up Comedy
80045805,Raiders!: The Story of the Greatest Fan Film Ever Made,Jeremy Coon,2015,93,NR,Documentaries
80101827,The White Helmets,Orlando von Einsiedel,2016,41,TV-14,Documentaries
81030342,Los Tigres del Norte at Folsom Prison,Tom Donahue,2019,64,TV-PG,Documentaries
70054723,Steal a Pencil for Me,Michele Ohayon,2006,94,TV-14,Documentaries
81131761,The Outsider,Timothy Woodward Jr.,2019,86,TV-MA,Movies
81016326,Arisan 2,Nia Dinata,2011,113,TV-14,Comedies
80227777,Cardboard Gangsters,Mark O'Connor,2016,92,TV-MA,Dramas
81018233,Eeda,Ajithkumar,2018,153,TV-14,Dramas
81016317,Galih dan Ratna,Lucky Kuswandi,2017,111,TV-PG,Dramas
81016337,Gie,Riri Riza,2005,141,TV-14,Dramas
81018234,Goli Soda 2,Vijay Milton,2018,128,TV-MA,Action & Adventure
81018241,Jugaad,Susannah Heath-Eves,2017,52,TV-14,Documentaries
81018235,Maj Rati Keteki,Santwana Bardoloi,2017,117,TV-14,Dramas
81018236,Mayurakshi,Atanu Ghosh,2017,100,TV-14,Dramas
81018237,Red Oleanders Raktokarobi,Amitava Bhattacharya,2017,112,TV-14,Dramas
81018238,Samantaral,Partha Chakraborty,2017,110,TV-MA,Dramas
81016339,The Secret,Raffi Ahmad,2018,98,TV-MA,Horror Movies
80067522,First They Killed My Father,Angelina Jolie,2017,137,TV-MA,Dramas
80192149,Gagarin: First in Space,Pavel Parkhomenko,2013,108,TV-14,Dramas
80142637,Janaan,Azfar Jafri,2016,132,TV-14,Comedies
80192014,Larceny,R. Ellis Frazier,2017,87,TV-14,Action & Adventure
80192015,Rumble,R. Ellis Frazier,2016,92,TV-MA,Action & Adventure
80168230,Strong Island,Yance Ford,2017,108,TV-MA,Documentaries
80088910,Natural Born Pranksters,Roman Atwood,2016,91,R,Comedies
70290909,Sample This,Dan Forrer,2012,83,TV-14,Documentaries
80033772,Cowspiracy: The Sustainability Secret,Kip Andersen,2014,90,NR,Documentaries
81093951,Oh! Baby,B. V. Nandini Reddy,2019,157,TV-14,Comedies
80238013,The Crystal Calls Making the Dark Crystal: Age of Resistance,Randall Lobb,2019,83,TV-PG,Documentaries
81089941,We Have Always Lived in the Castle,Stacie Passon,2018,95,TV-14,Dramas
81000011,Bangkok Hell,Manop Janjarasskul,2002,107,TV-MA,Dramas
80217733,Bleach,Shinsuke Sato,2018,109,TV-14,Action & Adventure
80999985,Still,Chatchai Katenut,2010,100,TV-MA,Horror Movies
80188120,The Angel,Ariel Vromen,2018,114,TV-MA,Dramas
80164779,The Land of Steady Habits,Nicole Holofcener,2018,98,TV-MA,Comedies
81092328,American Warfighter,Jerry G. Angelo,2019,106,TV-MA,Dramas
81183572,Deviant Love,Michael Feifer,2019,87,TV-14,Thrillers
81037283,Head Count,Elle Callahan,2018,90,TV-MA,Horror Movies
80244973,"Hello, Privilege. It's Me, Chelsea",Alex Stapleton,2019,65,TV-MA,Documentaries
81132438,Locked on You,Kvanc Baruonu,2018,105,TV-14,Comedies
81161230,Shanghai Fortress,Teng Huatao,2019,107,TV-14,Dramas
81002412,Tall Girl,Nzingha Stewart,2019,103,TV-PG,Children & Family Movies
81023636,Time Trap,Mark Dennis,2018,88,TV-14,Action & Adventure
80198046,Ghost of the Mountains,Ben Wallis,2017,78,G,Documentaries
80106307,Extremis,Dan Krauss,2016,25,TV-PG,Documentaries
70267728,Turbo,David Soren,2013,96,PG,Children & Family Movies
81001000,On My Skin,Alessio Cremonini,2018,100,TV-MA,Dramas
80192445,Heroin(e),Elaine McMillion Sheldon,2017,40,TV-14,Documentaries
80158670,Jeff Dunham: Relative Disaster,Michael Simon,2017,71,TV-MA,Stand-Up Comedy
80244019,The Resistance Banker,Joram Lursen,2018,123,TV-MA,Dramas
80162143,The Forgotten,Oliver Frampton,2014,89,TV-MA,Horror Movies
81060174,Bill Burr: Paper Tiger,Mike Binder,2019,67,TV-MA,Stand-Up Comedy
70130445,Eat Pray Love,Ryan Murphy,2010,140,PG-13,Dramas
80216928,Evelyn,Orlando von Einsiedel,2019,96,TV-MA,Documentaries
81001494,Our Godfather,Mark Franchetti,2019,93,TV-MA,Documentaries
80991570,"My Teacher, My Obsession",Damian Romay,2018,86,TV-14,Thrillers
80184129,68 Kill,Trent Haaga,2017,96,R,Comedies
60000861,American Psycho,Mary Harron,2000,102,R,Comedies
1151375,Dante's Peak,Roger Donaldson,1997,108,PG-13,Action & Adventure
81137484,Elena,Petra Costa,2012,81,TV-14,Documentaries
80187228,First Kill,Steven C. Miller,2017,102,R,Action & Adventure
81031008,For the Birds,Richard Miron,2018,93,TV-MA,Documentaries
70099119,Igor,Tony Leondis,2008,87,PG,Children & Family Movies
70039185,Just Friends,Roger Kumble,2005,94,PG-13,Comedies
81165769,Mokalik (Mechanic),Kunle Afolayan,2019,100,TV-14,Dramas
70056433,Mr. Woodcock,Craig Gillespie,2007,88,PG-13,Comedies
70113003,My Sister's Keeper,Nick Cassavetes,2009,109,PG-13,Dramas
60031232,Mystic River,Clint Eastwood,2003,138,R,Dramas
80032842,1-Oct,Kunle Afolayan,2014,149,TV-MA,Dramas
81137482,Olmo & the Seagull,Petra Costa,2014,82,TV-MA,Dramas
70043308,Open Season,Roger Allers,2006,86,PG,Children & Family Movies
81165771,Phone Swap,Kunle Afolayan,2012,112,TV-14,Comedies
70044697,Poseidon,Wolfgang Petersen,2006,98,PG-13,Action & Adventure
70105368,Rachel Getting Married,Jonathan Demme,2008,113,R,Dramas
81141689,Spookley the Square Pumpkin,Bernie Denk,2004,47,G,Children & Family Movies
1008581,Stripes,Ivan Reitman,1981,106,R,Classic Movies
70058023,Superbad,Greg Mottola,2007,113,R,Comedies
81165786,The Bridge,Kunle Afolayan,2017,119,TV-14,Dramas
81165770,The CEO,Kunle Afolayan,2016,109,TV-14,Dramas
70043303,The Lake House,Alejandro Agresti,2006,98,PG,Dramas
70136074,The Last Exorcism,Daniel Stamm,2010,88,PG-13,Horror Movies
1153194,The Saint,Phillip Noyce,1997,116,PG-13,Action & Adventure
70112730,The Taking of Pelham 123,Tony Scott,2009,106,R,Action & Adventure
81158575,Uncle Naji in UAE,Ahmed Zain,2019,95,TV-14,Comedies
81065786,Used Goods,Mohamed Hamdy,2018,95,TV-MA,Action & Adventure
70087541,You Don't Mess with the Zohan,Dennis Dugan,2008,113,UR,Action & Adventure
81003984,Barca Dreams,Jordi Llompart,2015,122,TV-14,Documentaries
70024088,Brick,Rian Johnson,2005,110,R,Independent Movies
81005312,Carbon,Olivier Marchal,2017,104,TV-MA,Dramas
80082969,Delirium,Dennis Iliadis,2018,96,R,Horror Movies
80994130,Garbage,Qaushiq Mukherjee,2018,109,TV-MA,Dramas
81019924,Hope Aur Hum,Sudip Bandyopadhyay,2018,95,TV-14,Children & Family Movies
81018240,Kuch Bheege Alfaaz,Onir,2018,110,TV-14,Dramas
81013710,Love and Shukla,Jatla Siddartha,2017,110,TV-MA,Dramas
70077076,Murder Party,Jeremy Saulnier,2007,79,NR,Comedies
81014988,Once Again,Kanwal Sethi,2018,101,TV-PG,Dramas
80102950,Pee Mak,Banjong Pisanthanakun,2013,112,TV-MA,Comedies
70055221,Solo Con Tu Pareja,Alfonso Cuaron,1991,94,NR,Comedies
81005314,Sparring,Samuel Jouy,2017,94,TV-14,Dramas
80242828,Stephanie,Akiva Goldsman,2017,86,R,Horror Movies
81004223,Terrifier,Damien Leone,2017,84,TV-MA,Horror Movies
80198730,The Keeping Hours,Karen Moncrieff,2017,95,PG-13,Dramas
80999945,The Perfect Day,Jean-Pierre Devillers,2018,93,TV-14,Documentaries
81016043,The Promise,Sophon Sakdaphisit,2017,113,TV-MA,Horror Movies
17672040,The River Wild,Curtis Hanson,1994,111,PG-13,Action & Adventure
20254278,Aakhri Adaalat,Rajiv Mehra,1988,148,TV-14,Action & Adventure
70276596,Berserk: The Golden Age Arc II - The Battle for Doldrey,Toshiyuki Kubooka,2012,92,TV-MA,Action & Adventure
80063025,Berserk: The Golden Age Arc III - The Advent,Toshiyuki Kubooka,2013,107,TV-MA,Action & Adventure
70068739,Brother's Shadow,Todd S. Yellin,2006,90,TV-14,Dramas
80184974,Concrete Football,Jesse Adang,2016,52,TV-MA,Documentaries
80156941,Ek Jaan Hain Hum,Rajiv Mehra,1983,151,TV-14,Dramas
80061314,Incorruptible,Elizabeth Chai Vasarhelyi,2015,90,TV-MA,Documentaries
70052492,Inuyasha the Movie - L'isola del fuoco scarlatto,Toshiya Shinohara,2004,88,NR,Action & Adventure
70036200,Inuyasha the Movie - La spada del dominatore del mondo,Toshiya Shinohara,2003,99,NR,Action & Adventure
70018513,InuYasha: The Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,2002,99,NR,Action & Adventure
80158480,Khoon Khoon,Mohammed Hussain,1973,132,TV-14,Action & Adventure
80139506,Little Evil,Eli Craig,2017,95,TV-MA,Comedies
80205314,Lorai: Play to Live,Parambrata Chatterjee,2015,155,TV-14,Dramas
80158545,Manoranjan,Shammi Kapoor,1974,162,TV-14,Comedies
80156939,Mujrim,Umesh Mehra,1989,163,TV-14,Action & Adventure
80152537,Naruto Shippuden : Blood Prison,Masahiko Murata,2011,102,TV-14,Action & Adventure
80045673,Naruto Shippuden the Movie: The Will of Fire,Masahiko Murata,2009,96,TV-14,Action & Adventure
70275937,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,2010,85,TV-14,Action & Adventure
70101321,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,2005,97,NR,Action & Adventure
70108386,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,2006,95,NR,Action & Adventure
70074559,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,2004,83,NR,Action & Adventure
80162197,Offline - Das leben ist kein bonuslevel,Florian Schnell,2016,89,TV-MA,Action & Adventure
80184055,Resurface,Josh Izenberg,2017,28,TV-MA,Documentaries
80160358,Rocco,Thierry Demaiziere,2016,103,TV-MA,Documentaries
60034929,She's Gotta Have It,Spike Lee,1986,84,R,Classic Movies
80157134,Sohni Mahiwal,Latif Faiziyev,1984,160,TV-PG,Dramas
80141891,The Distinguished Citizen,Gaston Duprat,2016,113,TV-MA,Comedies
80183897,The Drowning,Bette Gordon,2016,99,TV-MA,Thrillers
80177834,The Guardian Brothers,Gary Wang,2016,86,TV-Y7-FV,Children & Family Movies
80121855,The Last Shaman,Raz Degan,2016,83,TV-MA,Documentaries
80168028,The Lost Brother,Israel Adrian Caetano,2017,113,TV-MA,Dramas
80190990,Todo Sobre El Asado,Mariano Cohn,2016,86,TV-14,Documentaries
80173269,Who the F**k Is That Guy?,Drew Stone,2017,78,TV-MA,Documentaries
80106140,A Noble Intention,Joram Lursen,2015,111,NR,Dramas
80106137,Bon Bini Holland,Jelle de Jonge,2015,88,TV-14,Comedies
80114155,Dukhtar,Afia Nathaniel,2014,93,TV-14,Dramas
80118841,Figaro Pho,Luke Jurevicius,2008,29,TV-Y7,Children & Family Movies
80102579,Full Out,Sean Cisterna,2015,88,TV-PG,Children & Family Movies
80097438,Holy Hell,Will Allen,2016,103,NR,Documentaries
80114419,Off Course,Nacho G. Velilla,2015,107,TV-MA,Comedies
80103426,We Need to Talk,David Serrano,2016,91,TV-MA,Comedies
70278877,Iliza Shlesinger: War Paint,Jay Chapman,2013,75,NR,Stand-Up Comedy
80244311,After,Jenny Gage,2019,106,PG-13,Dramas
81183570,Home Is Where the Killer Is,Kaila York,2019,87,TV-14,Dramas
81016328,Garuda Di Dadaku,Ifa Isfansyah,2009,96,TV-PG,Children & Family Movies
80239503,Mo Amer: The Vagabond,Stan Lathan,2018,57,TV-MA,Stand-Up Comedy
81016321,Surat Dari Praha,Angga Dwimas Sasongko,2016,98,TV-14,Dramas
80031666,Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky,2015,99,NR,Documentaries
80995737,Deon Cole: Cole Hearted,Ryan Polito,2019,70,TV-MA,Stand-Up Comedy
81020161,Pulang,Kabir Bhatia,2018,119,TV-14,Action & Adventure
80025390,The Water Diviner,Russell Crowe,2014,111,R,Dramas
80196216,Chris Brown: Welcome to My Life,Andrew Sandler,2017,80,TV-MA,Documentaries
80091741,13TH,Ava DuVernay,2016,101,TV-MA,Documentaries
80115464,Russell Peters: Almost Famous,Dave Higby,2016,73,TV-MA,Stand-Up Comedy
80041653,The Siege of Jadotville,Richie Smyth,2016,108,TV-MA,Action & Adventure
81016338,Love for Sale,Andibachtiar Yusuf,2018,101,TV-14,Dramas
81002592,Jackpot,Dustin Nguyen,2015,92,TV-14,Comedies
81017724,Seven in Heaven,Chris Eigeman,2018,94,PG-13,Horror Movies
80170301,Kung Fu Yoga,Stanley Tong,2017,107,TV-PG,Action & Adventure
80189623,The Death and Life of Marsha P. Johnson,David France,2017,106,TV-MA,Documentaries
81177367,Noblemen,Vandana Kataria,2019,109,TV-MA,Dramas
81016323,Cahaya Dari Timur Beta Maluku,Angga Dwimas Sasongko,2014,151,TV-14,Dramas
81016318,Emma' (Mother),Riri Riza,2016,74,TV-PG,Dramas
80242081,Malevolent,Olaf de Fleur,2018,89,TV-MA,Horror Movies
80168222,Private Life,Tamara Jenkins,2018,124,R,Comedies
81158574,Brother in Love,Onur Bilgetay,2019,110,TV-14,Comedies
80237905,In the Tall Grass,Vincenzo Natali,2019,102,TV-MA,Horror Movies
81132440,Kids on the Block,Tugce Soysop,2019,102,TV-PG,Children & Family Movies
81021243,Super Monsters: Vida's First Halloween,Jacob Joice,2019,24,TV-Y,Children & Family Movies
81004460,Compulsion,Craig Goodwill,2016,84,TV-MA,Dramas
81016330,The Dreamer,Riri Riza,2009,121,TV-PG,Dramas
70105130,The Haunting of Molly Hartley,Mickey Liddell,2008,85,PG-13,Horror Movies
80141858,LEGO Jurassic World: The Indominus Escape,Michael D. Black,2016,25,TV-Y7,Children & Family Movies
81084225,Grego Rossello: Disculpe las molestias,Juani Libonatti,2019,65,TV-MA,Stand-Up Comedy
80199806,Gun City,Dani de la Torre,2018,126,TV-MA,Dramas
80084834,Heneral Luna,Jerrold Tarog,2015,118,R,Dramas
80208273,Judah Friedlander: America Is the Greatest Country in the United States,Judah Friedlander,2017,84,TV-MA,Stand-Up Comedy
80145699,The B-Side: Elsa Dorfman's Portrait Photography,Errol Morris,2016,76,TV-MA,Documentaries
70266684,Kristy,Oliver Blackburn,2013,85,NR,Horror Movies
81177371,Mehandi Circus,Saravana Rajendran,2019,126,TV-14,Dramas
70067230,My Brother ... Nikhil,Onir,2005,116,TV-PG,Dramas
80207446,Shorgul,Jitendra Tiwari,2016,122,TV-14,Dramas
80207447,Siddhant,Vivek Wagh,2014,105,TV-G,Dramas
81016324,The Jungle School,Riri Riza,2013,90,TV-PG,Dramas
80192097,SPF-18,Alex Israel,2017,75,PG-13,Dramas
70185045,Forks Over Knives,Lee Fulkerson,2011,96,PG,Documentaries
70002129,Benji's Very Own Christmas Story,Joe Camp,1978,25,TV-G,Children & Family Movies
80191963,The Black Prince,Kavi Raz,2017,121,PG-13,Dramas
80218099,Truth or Dare,Nick Simon,2017,88,TV-MA,Horror Movies
80199767,Cult of Chucky,Don Mancini,2017,90,R,Horror Movies
80191665,Rodney Carrington: Here Comes the Truth,Brandon Jones,2017,66,TV-MA,Stand-Up Comedy
80161921,Security,Alain Desrochers,2017,92,R,Action & Adventure
81148672,Arsenio Hall: Smart & Classy,Brian Volk-Weiss,2019,63,TV-MA,Stand-Up Comedy
80224362,Kings,Deniz Gamze Erguven,2017,87,R,Dramas
80092857,Pup Star,Robert Vince,2016,92,G,Children & Family Movies
80244679,A 3 Minute Hug,Everardo Gonzalez,2019,28,TV-PG,Documentaries
81110394,Little Miss Sumo,Matt Kay,2018,20,TV-G,Documentaries
80067754,Equals,Drake Doremus,2015,102,PG-13,Dramas
80189954,Pup Star: Better 2Gether,Robert Vince,2017,93,PG,Children & Family Movies
80094648,I Am the Pretty Thing That Lives in the House,Osgood Perkins,2016,89,TV-14,Horror Movies
80066073,Into the Inferno,Werner Herzog,2016,107,TV-PG,Documentaries
80123740,The African Doctor,Julien Rambaldi,2016,94,TV-PG,Comedies
80123741,They Are Everywhere,Yvan Attal,2016,110,TV-MA,Comedies
80123742,West Coast,Benjamin Weill,2016,81,TV-MA,Comedies
